date,mean_3h_ap,max_3h_ap,mean_daily_Ap,mean_f107
2022-01-25,13.5,18.0,14.0,95.2
2022-01-26,9.75,15.0,10.0,100.9
2022-01-27,6.5,15.0,6.0,101.8
2022-01-28,7.125,22.0,7.0,107.1
2022-01-29,14.5,27.0,14.0,113.4
2022-01-30,10.25,15.0,10.0,125.3
2022-01-31,9.0,15.0,9.0,129.6
2022-02-01,5.75,18.0,6.0,129.5
2022-02-02,10.375,27.0,10.0,128.6
2022-02-03,26.5,56.0,26.0,128.2
2022-02-04,32.0,56.0,32.0,126.5
2022-02-05,11.0,15.0,11.0,129.6
2022-02-06,13.625,22.0,14.0,125.9
2022-02-07,6.125,9.0,6.0,123.6
2022-02-08,4.125,7.0,4.0,127.2
