OBJECT_NAME,NORAD_CAT_ID,EPOCH,INCLINATION,RA_OF_ASC_NODE,ECCENTRICITY,MEAN_MOTION,BSTAR,APPROX_ALT_KM,SPLIT,SHELL
STARLINK-32664,62204,2026-08-24 01:37:41.999981,42.9884,5.6113,0.002985,15.73827688,0.00044214,347.9699019455111,TRAIN,43deg
STARLINK-4446,53505,2026-08-24 01:14:42.000000,97.6029,14.6025,0.000288,15.93812207,0.00035893,291.6268017617367,TRAIN,97deg
STARLINK-34227,64178,2026-08-23 23:54:41.999962,53.1587,33.9972,0.0001129,15.3045901,0.031976,474.44252131532176,TRAIN,53deg
STARLINK-1676,46556,2026-08-24 00:17:42.000029,53.0238,35.6209,0.0011825,16.05161372,0.00089184,260.15095331237444,TEST,53deg
STARLINK-30053,56700,2026-08-24 00:25:41.999981,43.0014,46.1356,0.0001457,15.27585761,-9.2402e-06,483.0325455873581,VALIDATION,43deg
STARLINK-6085,57115,2026-08-24 01:25:42.000010,42.9968,53.9184,0.0019803,15.1996903,0.00058346,505.93482269229935,TRAIN,43deg
STARLINK-38033,69739,2026-08-24 01:59:42.000000,97.285,75.3518,0.0001284,15.33459492,8.9472e-09,465.50075682169336,VALIDATION,97deg
STARLINK-37962,69693,2026-08-24 02:11:41.999971,97.2849,83.2053,0.0001685,15.33447051,1.3782e-06,465.5377721519335,TRAIN,97deg
STARLINK-34725,64843,2026-08-24 01:07:42.000010,97.285,86.9436,0.0003215,15.33419552,0.0016659,465.6195908690543,TRAIN,97deg
STARLINK-32955,63117,2026-08-24 01:10:41.999981,42.9806,96.1565,0.002605,15.89666444,0.0010314,303.21801838574265,TEST,43deg
STARLINK-2209,47776,2026-08-23 23:46:42.000010,53.1419,105.1549,1.73e-05,16.07076508,0.00093871,254.87605436487863,TRAIN,53deg
STARLINK-5677,55463,2026-08-24 00:48:41.999962,42.9984,116.7348,0.0007521,15.20344932,0.0020474,504.8000614523662,TRAIN,43deg
STARLINK-1193,45100,2026-08-24 00:41:41.999971,53.0423,126.781,0.0004337,15.76467477,0.00045207,340.4592447879386,TRAIN,53deg
STARLINK-5049,57246,2026-08-24 00:54:41.999990,42.9997,154.3416,8.66e-05,15.27581106,-0.00081985,483.0464842797692,TRAIN,43deg
STARLINK-11155 [DTC],60046,2026-08-23 23:55:42.000010,53.157,161.3798,8.44e-05,15.69679846,9.8092e-07,359.8137410068066,TEST,53deg
STARLINK-36253,68028,2026-08-24 01:54:42.000019,97.28,183.4146,0.0008335,15.45555497,0.0021573,429.74704304194165,VALIDATION,97deg
STARLINK-2446,47844,2026-08-24 00:03:41.999962,53.1566,185.848,0.0006226,15.37134595,-4.6738e-06,454.5881995566088,VALIDATION,53deg
STARLINK-31444,59236,2026-08-24 01:38:42.000029,42.9935,196.6693,0.0013189,15.46289087,0.0023348,427.59367678477065,TRAIN,43deg
STARLINK-30327,57707,2026-08-24 01:03:41.999990,42.9884,205.1952,0.0031226,15.54017914,0.0026501,405.0096355080532,VALIDATION,43deg
STARLINK-30776,58136,2026-08-24 01:06:41.999962,42.988,249.6212,0.0022539,15.56035975,0.0023755,399.14354882505086,TRAIN,43deg
STARLINK-34312,64711,2026-08-24 01:24:41.999962,70.0,252.4339,0.0004078,14.98341542,0.00014056,572.0208984906412,TRAIN,70deg
STARLINK-6274,56776,2026-08-23 23:37:42.000010,69.9992,262.8267,0.0003679,14.98465584,-0.02671,571.6373402236486,TEST,70deg
STARLINK-38198,100160,2026-08-24 01:51:41.999962,97.2846,268.4503,0.0001364,15.71236758,-0.022255,355.3619915835088,TRAIN,97deg
STARLINK-34343,64157,2026-08-24 01:51:41.999962,97.6069,286.3765,0.0016295,15.06969196,0.0044344,545.4683032963858,TEST,97deg
STARLINK-11500 [DTC],62472,2026-08-24 01:20:42.000029,43.0001,293.8636,0.0001655,15.70821386,-8.7047e-05,356.5489643895989,VALIDATION,43deg
STARLINK-1337,45582,2026-08-24 00:20:42.000000,53.0386,310.2882,0.0007117,15.88807008,0.00060037,305.62723856842695,TRAIN,53deg
STARLINK-32611,61976,2026-08-23 23:58:41.999981,43.001,314.9346,0.0001355,15.27568647,1.2607e-07,483.083791216417,TEST,43deg
STARLINK-30714,57939,2026-08-24 00:29:42.000000,53.1572,326.0777,0.0004612,15.35610169,0.0013587,459.1094252750436,TRAIN,53deg
STARLINK-36698,67709,2026-08-24 02:04:41.999981,97.2848,346.4458,9.05e-05,15.33452502,4.8926e-05,465.52155389523614,TRAIN,97deg
STARLINK-30792,58220,2026-08-24 00:45:41.999990,43.0003,359.5019,0.0011511,15.10224306,-0.0012798,535.516051716595,TRAIN,43deg
