name,norad,shell,day,weather_class,schedule,split
STARLINK-32664,62204,43deg,2022-01-07,quiet,nominal_10min,TRAIN
STARLINK-32664,62204,43deg,2022-01-07,quiet,nominal_20min,TRAIN
STARLINK-32664,62204,43deg,2022-01-07,quiet,gap_4h,TRAIN
STARLINK-32664,62204,43deg,2022-11-10,quiet,nominal_10min,TRAIN
STARLINK-32664,62204,43deg,2022-11-10,quiet,nominal_20min,TRAIN
STARLINK-32664,62204,43deg,2022-11-10,quiet,gap_4h,TRAIN
STARLINK-32664,62204,43deg,2021-02-17,moderate,nominal_10min,TRAIN
STARLINK-32664,62204,43deg,2021-02-17,moderate,nominal_20min,TRAIN
STARLINK-32664,62204,43deg,2021-02-17,moderate,gap_4h,TRAIN
STARLINK-32664,62204,43deg,2023-02-12,moderate,nominal_10min,TRAIN
STARLINK-32664,62204,43deg,2023-02-12,moderate,nominal_20min,TRAIN
STARLINK-32664,62204,43deg,2023-02-12,moderate,gap_4h,TRAIN
STARLINK-32664,62204,43deg,2023-02-27,storm,nominal_10min,TRAIN
STARLINK-32664,62204,43deg,2023-02-27,storm,nominal_20min,TRAIN
STARLINK-32664,62204,43deg,2023-02-27,storm,gap_4h,TRAIN
STARLINK-32664,62204,43deg,2023-04-24,storm,nominal_10min,TRAIN
STARLINK-32664,62204,43deg,2023-04-24,storm,nominal_20min,TRAIN
STARLINK-32664,62204,43deg,2023-04-24,storm,gap_4h,TRAIN
STARLINK-4446,53505,97deg,2022-01-07,quiet,nominal_10min,TRAIN
STARLINK-4446,53505,97deg,2022-01-07,quiet,nominal_20min,TRAIN
STARLINK-4446,53505,97deg,2022-01-07,quiet,gap_4h,TRAIN
STARLINK-4446,53505,97deg,2022-11-10,quiet,nominal_10min,TRAIN
STARLINK-4446,53505,97deg,2022-11-10,quiet,nominal_20min,TRAIN
STARLINK-4446,53505,97deg,2022-11-10,quiet,gap_4h,TRAIN
STARLINK-4446,53505,97deg,2021-02-17,moderate,nominal_10min,TRAIN
STARLINK-4446,53505,97deg,2021-02-17,moderate,nominal_20min,TRAIN
STARLINK-4446,53505,97deg,2021-02-17,moderate,gap_4h,TRAIN
STARLINK-4446,53505,97deg,2023-02-12,moderate,nominal_10min,TRAIN
STARLINK-4446,53505,97deg,2023-02-12,moderate,nominal_20min,TRAIN
STARLINK-4446,53505,97deg,2023-02-12,moderate,gap_4h,TRAIN
STARLINK-4446,53505,97deg,2023-02-27,storm,nominal_10min,TRAIN
STARLINK-4446,53505,97deg,2023-02-27,storm,nominal_20min,TRAIN
STARLINK-4446,53505,97deg,2023-02-27,storm,gap_4h,TRAIN
STARLINK-4446,53505,97deg,2023-04-24,storm,nominal_10min,TRAIN
STARLINK-4446,53505,97deg,2023-04-24,storm,nominal_20min,TRAIN
STARLINK-4446,53505,97deg,2023-04-24,storm,gap_4h,TRAIN
STARLINK-34227,64178,53deg,2022-01-07,quiet,nominal_10min,TRAIN
STARLINK-34227,64178,53deg,2022-01-07,quiet,nominal_20min,TRAIN
STARLINK-34227,64178,53deg,2022-01-07,quiet,gap_4h,TRAIN
STARLINK-34227,64178,53deg,2022-11-10,quiet,nominal_10min,TRAIN
STARLINK-34227,64178,53deg,2022-11-10,quiet,nominal_20min,TRAIN
STARLINK-34227,64178,53deg,2022-11-10,quiet,gap_4h,TRAIN
STARLINK-34227,64178,53deg,2021-02-17,moderate,nominal_10min,TRAIN
STARLINK-34227,64178,53deg,2021-02-17,moderate,nominal_20min,TRAIN
STARLINK-34227,64178,53deg,2021-02-17,moderate,gap_4h,TRAIN
STARLINK-34227,64178,53deg,2023-02-12,moderate,nominal_10min,TRAIN
STARLINK-34227,64178,53deg,2023-02-12,moderate,nominal_20min,TRAIN
STARLINK-34227,64178,53deg,2023-02-12,moderate,gap_4h,TRAIN
STARLINK-34227,64178,53deg,2023-02-27,storm,nominal_10min,TRAIN
STARLINK-34227,64178,53deg,2023-02-27,storm,nominal_20min,TRAIN
STARLINK-34227,64178,53deg,2023-02-27,storm,gap_4h,TRAIN
STARLINK-34227,64178,53deg,2023-04-24,storm,nominal_10min,TRAIN
STARLINK-34227,64178,53deg,2023-04-24,storm,nominal_20min,TRAIN
STARLINK-34227,64178,53deg,2023-04-24,storm,gap_4h,TRAIN
STARLINK-6085,57115,43deg,2022-01-07,quiet,nominal_10min,TRAIN
STARLINK-6085,57115,43deg,2022-01-07,quiet,nominal_20min,TRAIN
STARLINK-6085,57115,43deg,2022-01-07,quiet,gap_4h,TRAIN
STARLINK-6085,57115,43deg,2022-11-10,quiet,nominal_10min,TRAIN
STARLINK-6085,57115,43deg,2022-11-10,quiet,nominal_20min,TRAIN
STARLINK-6085,57115,43deg,2022-11-10,quiet,gap_4h,TRAIN
STARLINK-6085,57115,43deg,2021-02-17,moderate,nominal_10min,TRAIN
STARLINK-6085,57115,43deg,2021-02-17,moderate,nominal_20min,TRAIN
STARLINK-6085,57115,43deg,2021-02-17,moderate,gap_4h,TRAIN
STARLINK-6085,57115,43deg,2023-02-12,moderate,nominal_10min,TRAIN
STARLINK-6085,57115,43deg,2023-02-12,moderate,nominal_20min,TRAIN
STARLINK-6085,57115,43deg,2023-02-12,moderate,gap_4h,TRAIN
STARLINK-6085,57115,43deg,2023-02-27,storm,nominal_10min,TRAIN
STARLINK-6085,57115,43deg,2023-02-27,storm,nominal_20min,TRAIN
STARLINK-6085,57115,43deg,2023-02-27,storm,gap_4h,TRAIN
STARLINK-6085,57115,43deg,2023-04-24,storm,nominal_10min,TRAIN
STARLINK-6085,57115,43deg,2023-04-24,storm,nominal_20min,TRAIN
STARLINK-6085,57115,43deg,2023-04-24,storm,gap_4h,TRAIN
STARLINK-37962,69693,97deg,2022-01-07,quiet,nominal_10min,TRAIN
STARLINK-37962,69693,97deg,2022-01-07,quiet,nominal_20min,TRAIN
STARLINK-37962,69693,97deg,2022-01-07,quiet,gap_4h,TRAIN
STARLINK-37962,69693,97deg,2022-11-10,quiet,nominal_10min,TRAIN
STARLINK-37962,69693,97deg,2022-11-10,quiet,nominal_20min,TRAIN
STARLINK-37962,69693,97deg,2022-11-10,quiet,gap_4h,TRAIN
STARLINK-37962,69693,97deg,2021-02-17,moderate,nominal_10min,TRAIN
STARLINK-37962,69693,97deg,2021-02-17,moderate,nominal_20min,TRAIN
STARLINK-37962,69693,97deg,2021-02-17,moderate,gap_4h,TRAIN
STARLINK-37962,69693,97deg,2023-02-12,moderate,nominal_10min,TRAIN
STARLINK-37962,69693,97deg,2023-02-12,moderate,nominal_20min,TRAIN
STARLINK-37962,69693,97deg,2023-02-12,moderate,gap_4h,TRAIN
STARLINK-37962,69693,97deg,2023-02-27,storm,nominal_10min,TRAIN
STARLINK-37962,69693,97deg,2023-02-27,storm,nominal_20min,TRAIN
STARLINK-37962,69693,97deg,2023-02-27,storm,gap_4h,TRAIN
STARLINK-37962,69693,97deg,2023-04-24,storm,nominal_10min,TRAIN
STARLINK-37962,69693,97deg,2023-04-24,storm,nominal_20min,TRAIN
STARLINK-37962,69693,97deg,2023-04-24,storm,gap_4h,TRAIN
STARLINK-34725,64843,97deg,2022-01-07,quiet,nominal_10min,TRAIN
STARLINK-34725,64843,97deg,2022-01-07,quiet,nominal_20min,TRAIN
STARLINK-34725,64843,97deg,2022-01-07,quiet,gap_4h,TRAIN
STARLINK-34725,64843,97deg,2022-11-10,quiet,nominal_10min,TRAIN
STARLINK-34725,64843,97deg,2022-11-10,quiet,nominal_20min,TRAIN
STARLINK-34725,64843,97deg,2022-11-10,quiet,gap_4h,TRAIN
STARLINK-34725,64843,97deg,2021-02-17,moderate,nominal_10min,TRAIN
STARLINK-34725,64843,97deg,2021-02-17,moderate,nominal_20min,TRAIN
STARLINK-34725,64843,97deg,2021-02-17,moderate,gap_4h,TRAIN
STARLINK-34725,64843,97deg,2023-02-12,moderate,nominal_10min,TRAIN
STARLINK-34725,64843,97deg,2023-02-12,moderate,nominal_20min,TRAIN
STARLINK-34725,64843,97deg,2023-02-12,moderate,gap_4h,TRAIN
STARLINK-34725,64843,97deg,2023-02-27,storm,nominal_10min,TRAIN
STARLINK-34725,64843,97deg,2023-02-27,storm,nominal_20min,TRAIN
STARLINK-34725,64843,97deg,2023-02-27,storm,gap_4h,TRAIN
STARLINK-34725,64843,97deg,2023-04-24,storm,nominal_10min,TRAIN
STARLINK-34725,64843,97deg,2023-04-24,storm,nominal_20min,TRAIN
STARLINK-34725,64843,97deg,2023-04-24,storm,gap_4h,TRAIN
STARLINK-2209,47776,53deg,2022-01-07,quiet,nominal_10min,TRAIN
STARLINK-2209,47776,53deg,2022-01-07,quiet,nominal_20min,TRAIN
STARLINK-2209,47776,53deg,2022-01-07,quiet,gap_4h,TRAIN
STARLINK-2209,47776,53deg,2022-11-10,quiet,nominal_10min,TRAIN
STARLINK-2209,47776,53deg,2022-11-10,quiet,nominal_20min,TRAIN
STARLINK-2209,47776,53deg,2022-11-10,quiet,gap_4h,TRAIN
STARLINK-2209,47776,53deg,2021-02-17,moderate,nominal_10min,TRAIN
STARLINK-2209,47776,53deg,2021-02-17,moderate,nominal_20min,TRAIN
STARLINK-2209,47776,53deg,2021-02-17,moderate,gap_4h,TRAIN
STARLINK-2209,47776,53deg,2023-02-12,moderate,nominal_10min,TRAIN
STARLINK-2209,47776,53deg,2023-02-12,moderate,nominal_20min,TRAIN
STARLINK-2209,47776,53deg,2023-02-12,moderate,gap_4h,TRAIN
STARLINK-2209,47776,53deg,2023-02-27,storm,nominal_10min,TRAIN
STARLINK-2209,47776,53deg,2023-02-27,storm,nominal_20min,TRAIN
STARLINK-2209,47776,53deg,2023-02-27,storm,gap_4h,TRAIN
STARLINK-2209,47776,53deg,2023-04-24,storm,nominal_10min,TRAIN
STARLINK-2209,47776,53deg,2023-04-24,storm,nominal_20min,TRAIN
STARLINK-2209,47776,53deg,2023-04-24,storm,gap_4h,TRAIN
STARLINK-5677,55463,43deg,2022-01-07,quiet,nominal_10min,TRAIN
STARLINK-5677,55463,43deg,2022-01-07,quiet,nominal_20min,TRAIN
STARLINK-5677,55463,43deg,2022-01-07,quiet,gap_4h,TRAIN
STARLINK-5677,55463,43deg,2022-11-10,quiet,nominal_10min,TRAIN
STARLINK-5677,55463,43deg,2022-11-10,quiet,nominal_20min,TRAIN
STARLINK-5677,55463,43deg,2022-11-10,quiet,gap_4h,TRAIN
STARLINK-5677,55463,43deg,2021-02-17,moderate,nominal_10min,TRAIN
STARLINK-5677,55463,43deg,2021-02-17,moderate,nominal_20min,TRAIN
STARLINK-5677,55463,43deg,2021-02-17,moderate,gap_4h,TRAIN
STARLINK-5677,55463,43deg,2023-02-12,moderate,nominal_10min,TRAIN
STARLINK-5677,55463,43deg,2023-02-12,moderate,nominal_20min,TRAIN
STARLINK-5677,55463,43deg,2023-02-12,moderate,gap_4h,TRAIN
STARLINK-5677,55463,43deg,2023-02-27,storm,nominal_10min,TRAIN
STARLINK-5677,55463,43deg,2023-02-27,storm,nominal_20min,TRAIN
STARLINK-5677,55463,43deg,2023-02-27,storm,gap_4h,TRAIN
STARLINK-5677,55463,43deg,2023-04-24,storm,nominal_10min,TRAIN
STARLINK-5677,55463,43deg,2023-04-24,storm,nominal_20min,TRAIN
STARLINK-5677,55463,43deg,2023-04-24,storm,gap_4h,TRAIN
STARLINK-1193,45100,53deg,2022-01-07,quiet,nominal_10min,TRAIN
STARLINK-1193,45100,53deg,2022-01-07,quiet,nominal_20min,TRAIN
STARLINK-1193,45100,53deg,2022-01-07,quiet,gap_4h,TRAIN
STARLINK-1193,45100,53deg,2022-11-10,quiet,nominal_10min,TRAIN
STARLINK-1193,45100,53deg,2022-11-10,quiet,nominal_20min,TRAIN
STARLINK-1193,45100,53deg,2022-11-10,quiet,gap_4h,TRAIN
STARLINK-1193,45100,53deg,2021-02-17,moderate,nominal_10min,TRAIN
STARLINK-1193,45100,53deg,2021-02-17,moderate,nominal_20min,TRAIN
STARLINK-1193,45100,53deg,2021-02-17,moderate,gap_4h,TRAIN
STARLINK-1193,45100,53deg,2023-02-12,moderate,nominal_10min,TRAIN
STARLINK-1193,45100,53deg,2023-02-12,moderate,nominal_20min,TRAIN
STARLINK-1193,45100,53deg,2023-02-12,moderate,gap_4h,TRAIN
STARLINK-1193,45100,53deg,2023-02-27,storm,nominal_10min,TRAIN
STARLINK-1193,45100,53deg,2023-02-27,storm,nominal_20min,TRAIN
STARLINK-1193,45100,53deg,2023-02-27,storm,gap_4h,TRAIN
STARLINK-1193,45100,53deg,2023-04-24,storm,nominal_10min,TRAIN
STARLINK-1193,45100,53deg,2023-04-24,storm,nominal_20min,TRAIN
STARLINK-1193,45100,53deg,2023-04-24,storm,gap_4h,TRAIN
STARLINK-5049,57246,43deg,2022-01-07,quiet,nominal_10min,TRAIN
STARLINK-5049,57246,43deg,2022-01-07,quiet,nominal_20min,TRAIN
STARLINK-5049,57246,43deg,2022-01-07,quiet,gap_4h,TRAIN
STARLINK-5049,57246,43deg,2022-11-10,quiet,nominal_10min,TRAIN
STARLINK-5049,57246,43deg,2022-11-10,quiet,nominal_20min,TRAIN
STARLINK-5049,57246,43deg,2022-11-10,quiet,gap_4h,TRAIN
STARLINK-5049,57246,43deg,2021-02-17,moderate,nominal_10min,TRAIN
STARLINK-5049,57246,43deg,2021-02-17,moderate,nominal_20min,TRAIN
STARLINK-5049,57246,43deg,2021-02-17,moderate,gap_4h,TRAIN
STARLINK-5049,57246,43deg,2023-02-12,moderate,nominal_10min,TRAIN
STARLINK-5049,57246,43deg,2023-02-12,moderate,nominal_20min,TRAIN
STARLINK-5049,57246,43deg,2023-02-12,moderate,gap_4h,TRAIN
STARLINK-5049,57246,43deg,2023-02-27,storm,nominal_10min,TRAIN
STARLINK-5049,57246,43deg,2023-02-27,storm,nominal_20min,TRAIN
STARLINK-5049,57246,43deg,2023-02-27,storm,gap_4h,TRAIN
STARLINK-5049,57246,43deg,2023-04-24,storm,nominal_10min,TRAIN
STARLINK-5049,57246,43deg,2023-04-24,storm,nominal_20min,TRAIN
STARLINK-5049,57246,43deg,2023-04-24,storm,gap_4h,TRAIN
STARLINK-31444,59236,43deg,2022-01-07,quiet,nominal_10min,TRAIN
STARLINK-31444,59236,43deg,2022-01-07,quiet,nominal_20min,TRAIN
STARLINK-31444,59236,43deg,2022-01-07,quiet,gap_4h,TRAIN
STARLINK-31444,59236,43deg,2022-11-10,quiet,nominal_10min,TRAIN
STARLINK-31444,59236,43deg,2022-11-10,quiet,nominal_20min,TRAIN
STARLINK-31444,59236,43deg,2022-11-10,quiet,gap_4h,TRAIN
STARLINK-31444,59236,43deg,2021-02-17,moderate,nominal_10min,TRAIN
STARLINK-31444,59236,43deg,2021-02-17,moderate,nominal_20min,TRAIN
STARLINK-31444,59236,43deg,2021-02-17,moderate,gap_4h,TRAIN
STARLINK-31444,59236,43deg,2023-02-12,moderate,nominal_10min,TRAIN
STARLINK-31444,59236,43deg,2023-02-12,moderate,nominal_20min,TRAIN
STARLINK-31444,59236,43deg,2023-02-12,moderate,gap_4h,TRAIN
STARLINK-31444,59236,43deg,2023-02-27,storm,nominal_10min,TRAIN
STARLINK-31444,59236,43deg,2023-02-27,storm,nominal_20min,TRAIN
STARLINK-31444,59236,43deg,2023-02-27,storm,gap_4h,TRAIN
STARLINK-31444,59236,43deg,2023-04-24,storm,nominal_10min,TRAIN
STARLINK-31444,59236,43deg,2023-04-24,storm,nominal_20min,TRAIN
STARLINK-31444,59236,43deg,2023-04-24,storm,gap_4h,TRAIN
STARLINK-30776,58136,43deg,2022-01-07,quiet,nominal_10min,TRAIN
STARLINK-30776,58136,43deg,2022-01-07,quiet,nominal_20min,TRAIN
STARLINK-30776,58136,43deg,2022-01-07,quiet,gap_4h,TRAIN
STARLINK-30776,58136,43deg,2022-11-10,quiet,nominal_10min,TRAIN
STARLINK-30776,58136,43deg,2022-11-10,quiet,nominal_20min,TRAIN
STARLINK-30776,58136,43deg,2022-11-10,quiet,gap_4h,TRAIN
STARLINK-30776,58136,43deg,2021-02-17,moderate,nominal_10min,TRAIN
STARLINK-30776,58136,43deg,2021-02-17,moderate,nominal_20min,TRAIN
STARLINK-30776,58136,43deg,2021-02-17,moderate,gap_4h,TRAIN
STARLINK-30776,58136,43deg,2023-02-12,moderate,nominal_10min,TRAIN
STARLINK-30776,58136,43deg,2023-02-12,moderate,nominal_20min,TRAIN
STARLINK-30776,58136,43deg,2023-02-12,moderate,gap_4h,TRAIN
STARLINK-30776,58136,43deg,2023-02-27,storm,nominal_10min,TRAIN
STARLINK-30776,58136,43deg,2023-02-27,storm,nominal_20min,TRAIN
STARLINK-30776,58136,43deg,2023-02-27,storm,gap_4h,TRAIN
STARLINK-30776,58136,43deg,2023-04-24,storm,nominal_10min,TRAIN
STARLINK-30776,58136,43deg,2023-04-24,storm,nominal_20min,TRAIN
STARLINK-30776,58136,43deg,2023-04-24,storm,gap_4h,TRAIN
STARLINK-34312,64711,70deg,2022-01-07,quiet,nominal_10min,TRAIN
STARLINK-34312,64711,70deg,2022-01-07,quiet,nominal_20min,TRAIN
STARLINK-34312,64711,70deg,2022-01-07,quiet,gap_4h,TRAIN
STARLINK-34312,64711,70deg,2022-11-10,quiet,nominal_10min,TRAIN
STARLINK-34312,64711,70deg,2022-11-10,quiet,nominal_20min,TRAIN
STARLINK-34312,64711,70deg,2022-11-10,quiet,gap_4h,TRAIN
STARLINK-34312,64711,70deg,2021-02-17,moderate,nominal_10min,TRAIN
STARLINK-34312,64711,70deg,2021-02-17,moderate,nominal_20min,TRAIN
STARLINK-34312,64711,70deg,2021-02-17,moderate,gap_4h,TRAIN
