norad,name,shell,day,weather_class,ekf_mean_km,hybrid_mean_km,gain_mean_km,schedule_win_fraction
46556,STARLINK-1676,53deg,2025-03-18,moderate,8.434597914130398,1.57520529477946,6.859392619350938,1.0
46556,STARLINK-1676,53deg,2025-06-01,storm,6.912662948485875,1.0857954257671987,5.826867522718676,1.0
46556,STARLINK-1676,53deg,2025-07-08,moderate,4.541750428452169,0.7915779865046054,3.7501724419475635,1.0
46556,STARLINK-1676,53deg,2025-09-19,quiet,6.136545314964944,0.9430152030453741,5.19353011191957,1.0
46556,STARLINK-1676,53deg,2025-11-12,storm,9.347374449728804,1.9724967515160474,7.374877698212757,1.0
46556,STARLINK-1676,53deg,2025-12-08,quiet,6.323489721729405,0.950420597229733,5.373069124499672,1.0
56776,STARLINK-6274,70deg,2025-03-18,moderate,0.315391962485467,0.30027570309941465,0.01511625938605235,0.6666666666666666
56776,STARLINK-6274,70deg,2025-06-01,storm,0.28743038347760524,0.2905498109610932,-0.0031194274834880353,0.0
56776,STARLINK-6274,70deg,2025-07-08,moderate,0.36949597201137796,0.3768111373511121,-0.007315165339734179,0.0
56776,STARLINK-6274,70deg,2025-09-19,quiet,0.32547517885147553,0.3447332631740711,-0.01925808432259556,0.0
56776,STARLINK-6274,70deg,2025-11-12,storm,0.3269396941165154,0.36375804873631007,-0.03681835461979468,0.3333333333333333
56776,STARLINK-6274,70deg,2025-12-08,quiet,0.2807361594756597,0.2687836868814862,0.011952472594173508,1.0
60046,STARLINK-11155 [DTC],53deg,2025-03-18,moderate,1.2838814393079676,0.5213677536401615,0.7625136856678062,1.0
60046,STARLINK-11155 [DTC],53deg,2025-06-01,storm,0.968139604203914,0.43604866566601475,0.5320909385378992,1.0
60046,STARLINK-11155 [DTC],53deg,2025-07-08,moderate,0.5164796177272787,0.4323234915657929,0.08415612616148582,1.0
60046,STARLINK-11155 [DTC],53deg,2025-09-19,quiet,0.9507360570267313,0.47767670523883304,0.47305935178789826,1.0
60046,STARLINK-11155 [DTC],53deg,2025-11-12,storm,1.5298354695377399,0.5339268812243558,0.9959085883133839,1.0
60046,STARLINK-11155 [DTC],53deg,2025-12-08,quiet,0.9803982958385276,0.3464343529814989,0.6339639428570286,1.0
61976,STARLINK-32611,43deg,2025-03-18,moderate,0.3194084237179819,0.31243292766652964,0.006975496051452257,0.6666666666666666
61976,STARLINK-32611,43deg,2025-06-01,storm,0.34534056530959645,0.3610420136131814,-0.01570144830358496,0.3333333333333333
61976,STARLINK-32611,43deg,2025-07-08,moderate,0.3105967343837706,0.3199681932373146,-0.009371458853543993,0.3333333333333333
61976,STARLINK-32611,43deg,2025-09-19,quiet,0.29459983920124355,0.2686922112629507,0.025907627938292894,1.0
61976,STARLINK-32611,43deg,2025-11-12,storm,0.42023467409796345,0.34952002273882443,0.07071465135913907,1.0
61976,STARLINK-32611,43deg,2025-12-08,quiet,0.26850637304687347,0.23266026996213354,0.035846103084739935,1.0
63117,STARLINK-32955,43deg,2025-03-18,moderate,3.6247177214190813,1.0936242736407378,2.5310934477783436,1.0
63117,STARLINK-32955,43deg,2025-06-01,storm,2.9170137823617797,0.6340777848996586,2.282935997462121,1.0
63117,STARLINK-32955,43deg,2025-07-08,moderate,1.791402877717429,0.5623256466669907,1.229077231050438,1.0
63117,STARLINK-32955,43deg,2025-09-19,quiet,2.434334584479762,0.6360317115024238,1.7983028729773383,1.0
63117,STARLINK-32955,43deg,2025-11-12,storm,4.028553351688974,0.867063867564351,3.161489484124624,1.0
63117,STARLINK-32955,43deg,2025-12-08,quiet,2.537865832254344,0.6141470177471101,1.9237188145072341,1.0
64157,STARLINK-34343,97deg,2025-03-18,moderate,0.2631237412440814,0.2621322211949349,0.000991520049146442,0.3333333333333333
64157,STARLINK-34343,97deg,2025-06-01,storm,0.2818152890537062,0.26794622940072027,0.013869059652985885,0.6666666666666666
64157,STARLINK-34343,97deg,2025-07-08,moderate,0.3033522796173039,0.31602257563711117,-0.012670296019807292,0.0
64157,STARLINK-34343,97deg,2025-09-19,quiet,0.36432328246927254,0.40664170931696403,-0.04231842684769149,0.0
64157,STARLINK-34343,97deg,2025-11-12,storm,0.34863789746478435,0.32440104972699707,0.02423684773778728,0.6666666666666666
64157,STARLINK-34343,97deg,2025-12-08,quiet,0.28524028092615084,0.29104690566107294,-0.005806624734922087,0.6666666666666666
