norad,name,shell,weather,median_density_kg_m3,p95_density_kg_m3,max_density_kg_m3,min_alt_km,max_alt_km
57246,STARLINK-5049,43deg,quiet,3.77453927488669e-13,7.304910365837913e-13,7.836160106217127e-13,482.04439397037163,495.92696171252146
57246,STARLINK-5049,43deg,moderate,4.288088981119209e-13,7.821651638005578e-13,8.06818153953337e-13,482.04439397037163,495.92696171252146
57246,STARLINK-5049,43deg,storm,5.253630646837038e-13,9.523282119491823e-13,1.0242208556970889e-12,482.04439397037163,495.92696171252146
45100,STARLINK-1193,53deg,quiet,6.177499050491475e-12,7.579475068408837e-12,7.864781742528137e-12,337.30763192396444,360.14188554893565
45100,STARLINK-1193,53deg,moderate,6.661866371049374e-12,7.962086198687324e-12,8.11366685643522e-12,337.30763192396444,360.14188554893565
45100,STARLINK-1193,53deg,storm,7.72895029227394e-12,9.34557778387024e-12,9.565821225410165e-12,337.30763192396444,360.14188554893565
64711,STARLINK-34312,70deg,quiet,7.952590409116e-14,2.0734454192657122e-13,2.150595511136305e-13,573.8575432124923,594.748043186185
64711,STARLINK-34312,70deg,moderate,9.329082645281872e-14,2.2683746157478588e-13,2.3844140095534427e-13,573.8575432124923,594.748043186185
64711,STARLINK-34312,70deg,storm,1.313018433129337e-13,2.6574618699169713e-13,2.90174270245816e-13,573.8575432124923,594.748043186185
67709,STARLINK-36698,97deg,quiet,4.160243655647322e-13,7.886165678816504e-13,8.208732088163528e-13,467.6643810527375,494.5454855929029
67709,STARLINK-36698,97deg,moderate,4.936390380662348e-13,8.762339269961782e-13,9.21857642305346e-13,467.6643810527375,494.5454855929029
67709,STARLINK-36698,97deg,storm,6.673725157571586e-13,1.0525811559164433e-12,1.1075912322716652e-12,467.6643810527375,494.5454855929029
