name,norad,shell,weather,sigma_a,rmse_km,mean_nis
STARLINK-5049,57246,43deg,quiet,3e-08,0.3655324416725521,3.208528468940538
STARLINK-5049,57246,43deg,quiet,1e-07,0.4195321491846592,3.083649627311974
STARLINK-5049,57246,43deg,quiet,3e-07,0.532450516535011,2.8960854066292487
STARLINK-5049,57246,43deg,quiet,1e-06,0.7050986648163482,2.6611269227532905
STARLINK-5049,57246,43deg,quiet,3e-06,0.9171210729134217,2.2931188971782235
STARLINK-5049,57246,43deg,moderate,3e-08,0.32293371119717607,2.7670757304711744
STARLINK-5049,57246,43deg,moderate,1e-07,0.38104769526639376,2.6625734211136094
STARLINK-5049,57246,43deg,moderate,3e-07,0.4973180860480645,2.548888846148964
STARLINK-5049,57246,43deg,moderate,1e-06,0.6506950815249619,2.370783400087301
STARLINK-5049,57246,43deg,moderate,3e-06,0.8359805103832264,2.0647843564980284
STARLINK-5049,57246,43deg,storm,3e-08,0.3453862605461999,3.0655060630899698
STARLINK-5049,57246,43deg,storm,1e-07,0.40633867618466385,2.9281680105819334
STARLINK-5049,57246,43deg,storm,3e-07,0.5194648459187485,2.787878813395799
STARLINK-5049,57246,43deg,storm,1e-06,0.6918307995968198,2.5699192934356354
STARLINK-5049,57246,43deg,storm,3e-06,0.8777079055674328,2.1667382829113593
STARLINK-1193,45100,53deg,quiet,3e-08,0.4930496309112475,3.4669654348322902
STARLINK-1193,45100,53deg,quiet,1e-07,0.4626133208268275,2.927632167026117
STARLINK-1193,45100,53deg,quiet,3e-07,0.5776996522445066,2.762447526921508
STARLINK-1193,45100,53deg,quiet,1e-06,0.7510251183007086,2.5531419039039855
STARLINK-1193,45100,53deg,quiet,3e-06,0.9347087941242945,2.188745436792294
STARLINK-1193,45100,53deg,moderate,3e-08,0.4267122601233811,3.338770764962972
STARLINK-1193,45100,53deg,moderate,1e-07,0.3122411776818961,2.6965254512578762
STARLINK-1193,45100,53deg,moderate,3e-07,0.3907483149709067,2.5665549922042996
STARLINK-1193,45100,53deg,moderate,1e-06,0.5699654423413385,2.4076554064325144
STARLINK-1193,45100,53deg,moderate,3e-06,0.7920893960084184,2.079066038598343
STARLINK-1193,45100,53deg,storm,3e-08,0.5655863761248643,3.8541143111084013
STARLINK-1193,45100,53deg,storm,1e-07,0.3950271021885378,3.06108991032289
STARLINK-1193,45100,53deg,storm,3e-07,0.46951062860869325,2.854615790454378
STARLINK-1193,45100,53deg,storm,1e-06,0.6405269244812939,2.6432883419707527
STARLINK-1193,45100,53deg,storm,3e-06,0.8652029780123685,2.3087565883572325
STARLINK-34312,64711,70deg,quiet,3e-08,0.4280140318954604,2.8770104457207206
STARLINK-34312,64711,70deg,quiet,1e-07,0.4644518821336931,2.779300021084645
STARLINK-34312,64711,70deg,quiet,3e-07,0.5445456286010228,2.6497463037477367
STARLINK-34312,64711,70deg,quiet,1e-06,0.6743054894264144,2.456198464356596
STARLINK-34312,64711,70deg,quiet,3e-06,0.8447514140707069,2.11572353928372
STARLINK-34312,64711,70deg,moderate,3e-08,0.31036172728360056,3.172928538537702
STARLINK-34312,64711,70deg,moderate,1e-07,0.38357790365120703,3.07733167031934
STARLINK-34312,64711,70deg,moderate,3e-07,0.518913577426885,2.941484164426511
STARLINK-34312,64711,70deg,moderate,1e-06,0.6949405459515663,2.7190276454780125
STARLINK-34312,64711,70deg,moderate,3e-06,0.8950210132120732,2.36289511040066
STARLINK-34312,64711,70deg,storm,3e-08,0.4072928428869229,2.8898428389817172
STARLINK-34312,64711,70deg,storm,1e-07,0.4609320144801589,2.7901768788631474
STARLINK-34312,64711,70deg,storm,3e-07,0.5464932549094464,2.6910851083949074
STARLINK-34312,64711,70deg,storm,1e-06,0.6888351322981418,2.520942948910854
STARLINK-34312,64711,70deg,storm,3e-06,0.8718977152950717,2.1907225313616805
STARLINK-36698,67709,97deg,quiet,3e-08,0.27300172550984764,2.5861550669565885
STARLINK-36698,67709,97deg,quiet,1e-07,0.3367677671909647,2.464044783386383
STARLINK-36698,67709,97deg,quiet,3e-07,0.4552691470096295,2.317692554493033
STARLINK-36698,67709,97deg,quiet,1e-06,0.6079451480456475,2.092573228437225
STARLINK-36698,67709,97deg,quiet,3e-06,0.7818940117598981,1.7744191408071996
STARLINK-36698,67709,97deg,moderate,3e-08,0.3773287697219682,2.988293571162799
STARLINK-36698,67709,97deg,moderate,1e-07,0.44387113799486067,2.8397690449389663
STARLINK-36698,67709,97deg,moderate,3e-07,0.5582027269332249,2.6443244923821663
STARLINK-36698,67709,97deg,moderate,1e-06,0.6953652114006904,2.36632198397664
STARLINK-36698,67709,97deg,moderate,3e-06,0.8585436933880014,1.9925966005265388
STARLINK-36698,67709,97deg,storm,3e-08,0.34322431553160104,3.0084090969270534
STARLINK-36698,67709,97deg,storm,1e-07,0.4097980394896492,2.9225999088180123
STARLINK-36698,67709,97deg,storm,3e-07,0.5174555929331218,2.8171108213529275
STARLINK-36698,67709,97deg,storm,1e-06,0.6696140714990472,2.6316182249327045
STARLINK-36698,67709,97deg,storm,3e-06,0.866088943844896,2.2795665569052668
